"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM857651","PA841563","Claire Marais-Beuil","PO851527","GA","France-Bruneï Malaisie","2025-01-23","","Membre"
"PM864597","PA793816","Mélanie Thomin","PO854157","GE","Filière brassicole","2025-02-14","","Membre"
"PM860165","PA721314","Raphaël Schellenberger","PO851572","GA","France-Slovénie","2025-01-28","","Membre"
"PM863865","PA795228","Nadège Abomangoli","PO851789","GA","France-République du Paraguay","2025-02-10","","Membre"
"PM859294","PA794886","Sophie Blanc","PO851909","GA","France-Qatar","2025-01-25","","Membre"
"PM856306","PA793928","Edwige Diaz","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-01-15","","Membre"
"PM858562","PA795278","Béatrice Bellamy","PO851522","GA","France-Québec","2025-01-23","2026-05-23","Membre"
"PM861076","PA719890","Danielle Brulebois","PO854525","GE","Chasse et pêche","2025-01-30","","Membre"
"PM857830","PA720342","Nicole Le Peih","PO851350","GA","France-Japon","2025-01-23","","Membre"
"PM864776","PA608826","Virginie Duby-Muller","PO854572","GE","Maladie de Lyme","2025-02-17","","Membre"
"PM860344","PA342415","Marie-Noëlle Battistel","PO851239","GA","France-Islande","2025-01-28","","Membre"
"PM859473","PA721004","Amélia Lakrafi","PO851709","GA","France-Seychelles","2025-01-27","","Membre"
"PM855041","PA793254","Julien Rancoule","PO854343","GE","Vigne, vin et œnologie","2024-12-23","","Membre"
"PM865687","PA796070","Perceval Gaillard","PO851224","GA","France-Yemen","2025-02-23","","Membre"
"PM858128","PA794906","Gabriel Amard","PO851904","GA","France-Emirats Arabes Unis","2025-01-23","","Membre"
"PM861255","PA840809","Gérault Verny","PO851764","GA","France-Singapour","2025-01-30","","Membre"
"PM864955","PA267780","Agnès Firmin Le Bodo","PO851683","GA","France-Malte","2025-02-18","","Vice-Président"
"PM860523","PA335612","Jean-Paul Lecoq","PO851924","GA","France-Sénégal","2025-01-28","","Membre"
"PM859652","PA721296","Guillaume Gouffier Valente","PO851779","GA","France-Egypte","2025-01-27","","Membre"
"PM855220","PA840673","Valérie Rossi","PO854349","GE","Forêt et filière bois","2024-12-28","","Membre"
"PM866598","PA345722","Constance Le Grip","PO854476","GE","Cinéma et production audiovisuelle","2025-02-13","","Secrétaire"
"PM859039","PA793572","Christophe Plassard","PO851804","GA","France-Australie","2025-01-24","","Membre"
"PM862166","PA719282","Xavier Lacombe","PO854308","GE","Littoral","2025-02-03","2025-11-05","Membre"
"PM858920","PA793398","Jérémie Patrier-Leitus","PO854195","GE","Antisémitisme","2025-01-24","","Membre"
"PM875334","PA842121","Nicolas Tryzna","PO854406","GE","Enseignement privé","2025-11-19","2026-04-14","Membre"
"PM865866","PA840903","Paul Christophle","PO854423","GE","Polices municipales","2025-02-25","","Vice-Président"
"PM858307","PA569","Philippe Bonnecarrère","PO851304","GA","France-Israël","2025-01-23","","Membre"
"PM861434","PA721234","Maud Petit","PO854417","GE","Prostitution","2025-01-30","","Membre"
"PM863690","PA793780","Christine Arrighi","PO851457","GA","France-Ethiopie","2025-02-10","","Membre"
"PM860702","PA793182","Jorys Bovet","PO851904","GA","France-Emirats Arabes Unis","2025-01-29","","Membre"
"PM859831","PA267794","Michèle Tabarot","PO854333","GE","Industries du luxe","2025-01-28","","Membre"
"PM859218","PA720362","Belkhir Belhaddad","PO851254","GA","France-Algérie","2025-01-24","","Membre"
"PM862345","PA607193","Sophie Errante","PO854288","GE","Attractivité économique et export","2025-02-04","","Membre"
"PM861613","PA795820","Marcellin Nadeau","PO851274","GA","France-Bénin","2025-01-31","","Membre"
"PM856310","PA793928","Edwige Diaz","PO854184","GE","Prisons et conditions carcérales","2025-01-15","","Membre"
"PM867688","PA793342","Alexandra Martin (Alpes-Maritimes)","PO851552","GA","France-Arménie","2025-03-26","","Vice-Président"
"PM863256","PA267306","André Chassaigne","PO851339","GA","France-Vietnam","2025-02-06","2025-03-31","Membre"
"PM862524","PA719756","Christine Le Nabour","PO851724","GA","France-Espagne","2025-02-05","","Membre"
"PM861080","PA719890","Danielle Brulebois","PO854364","GE","Thermalisme","2025-01-30","","Membre"
"PM864780","PA841243","Sébastien Saint-Pasteur","PO854444","GE","Cheval","2025-02-17","","Membre"
"PM864167","PA793122","Romain Daubié","PO851754","GA","France-Chypre","2025-02-11","","Vice-Président"
"PM863435","PA774958","Gérard Leseul","PO851482","GA","France-Madagascar","2025-02-06","","Vice-Président"
"PM865691","PA841613","Marc de Fleurian","PO854273","GE","Discriminations et LGBTQI-phobies","2025-02-24","2025-03-14","Membre"
"PM862703","PA720230","Lise Magnier","PO851522","GA","France-Québec","2025-02-05","","Membre"
"PM858132","PA793374","Romain Baubry","PO851269","GA","France-Argentine","2025-01-23","","Membre"
"PM865078","PA606573","Fanny Dombre Coste","PO851663","GA","France-Iran","2025-02-18","","Membre"
"PM868778","PA795228","Nadège Abomangoli","PO851532","GA","France-Nigéria","2025-03-13","","Vice-Président"
"PM864346","PA794906","Gabriel Amard","PO854195","GE","Antisémitisme","2025-02-11","","Vice-Président"
"PM854878","PA794038","Yannick Neuder","PO854525","GE","Chasse et pêche","2024-12-20","2025-01-23","Membre"
"PM863614","PA795664","Paul Midy","PO851350","GA","France-Japon","2025-02-08","","Membre"
"PM859043","PA793572","Christophe Plassard","PO851914","GA","France-Etats-Unis","2025-01-24","","Membre"
"PM862170","PA720952","Aurélien Taché","PO851965","GEVI","Groupe d'études à vocation internationale France-Syrie","2025-02-03","","Membre"
"PM865870","PA793322","Christelle D'Intorni","PO854423","GE","Polices municipales","2025-02-25","","Vice-Président"
"PM858311","PA569","Philippe Bonnecarrère","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-01-23","","Membre"
"PM865257","PA1630","Michel Herbillon","PO851960","GEVI","Groupe d'études à vocation internationale sur les Iles du Pacifique","2025-02-19","","Membre"
"PM855789","PA721458","Xavier Roseren","PO854396","GE","Énergies durables et hydrogène","2025-01-13","","Membre"
"PM864525","PA793398","Jérémie Patrier-Leitus","PO854444","GE","Cheval","2025-02-12","","Secrétaire"
"PM859222","PA720362","Belkhir Belhaddad","PO851779","GA","France-Egypte","2025-01-24","","Membre"
"PM861004","PA841463","Estelle Mercier","PO851739","GA","France-Luxembourg","2025-01-30","","Membre"
"PM855968","PA795786","Yaël Ménaché","PO854411","GE","Industries de défense","2025-01-14","","Membre"
"PM867692","PA841507","Nicolas Bonnet","PO854444","GE","Cheval","2025-03-26","","Membre"
"PM864704","PA721816","Ian Boucard","PO854572","GE","Maladie de Lyme","2025-02-14","","Membre"
"PM863260","PA267306","André Chassaigne","PO851522","GA","France-Québec","2025-02-06","2025-03-31","Membre"
"PM859401","PA795966","Stéphane Rambaud","PO851688","GA","France-Tunisie","2025-01-27","","Membre"
"PM868782","PA795228","Nadège Abomangoli","PO851467","GA","France-Pologne","2025-03-13","","Vice-Président"
"PM864350","PA794886","Sophie Blanc","PO851602","GA","France-République démocratique du Congo","2025-02-12","","Membre"
"PM854882","PA794038","Yannick Neuder","PO854486","GE","Maladies rares","2024-12-20","2025-01-23","Membre"
"PM863005","PA721584","Jean Terlier","PO851819","GA","France-Roumanie","2025-01-27","","Membre"
"PM857969","PA795330","Eléonore Caroit","PO851355","GA","France-Amérique centrale","2025-01-23","2025-11-12","Membre"
"PM866705","PA721816","Ian Boucard","PO854391","GE","Villes et banlieues","2025-03-11","","Vice-Président"
"PM865261","PA1630","Michel Herbillon","PO851386","GA","France-Royaume des Pays-Bas","2025-02-19","","Membre"
"PM855793","PA721458","Xavier Roseren","PO854323","GE","Logement et écoconstruction","2025-01-13","","Membre"
"PM872919","PA793166","Jocelyn Dessigny","PO851334","GA","France-Gabon","2025-09-11","2026-05-31","Membre"
"PM855972","PA795786","Yaël Ménaché","PO854491","GE","Ruralité","2025-01-14","","Membre"
"PM854627","PA774960","Isabelle Santiago","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2024-12-19","","Membre"
"PM866351","PA795808","Sabrina Sebaihi","PO854195","GE","Antisémitisme","2025-03-06","","Membre"
"PM865006","PA841139","Julien Gabarron","PO854343","GE","Vigne, vin et œnologie","2025-02-18","","Membre"
"PM855538","PA721932","Marie-France Lorho","PO854343","GE","Vigne, vin et œnologie","2025-01-08","","Membre"
"PM857794","PA793394","Arthur Delaporte","PO851844","GA","France-République d'Autriche","2025-01-23","","Membre"
"PM854806","PA795430","Stéphane Delautrette","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2024-12-19","","Membre"
"PM856449","PA722000","Stéphane Buchou","PO854313","GE","Longévité et adaptation de la société au vieillissement","2025-01-15","","Membre"
"PM868173","PA794778","Sandra Regol","PO851522","GA","France-Québec","2025-04-03","","Vice-Président"
"PM857973","PA795330","Eléonore Caroit","PO856876","GA","France-Caraïbes","2025-01-23","2025-11-12","Membre"
"PM874387","PA841487","Anthony Boulogne","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-10-31","","Membre"
"PM860487","PA840817","Joël Bruneau","PO851259","GA","France-Lettonie","2025-01-28","","Membre"
"PM872923","PA795318","Louis Boyard","PO872299","GE","Amiante","2025-09-11","","Membre"
"PM858884","PA841367","Christophe Proença","PO854396","GE","Énergies durables et hydrogène","2025-01-23","","Membre"
"PM861398","PA722102","Annie Vidal","PO851432","GA","France-Irlande","2025-01-30","","Membre"
"PM867007","PA841613","Marc de Fleurian","PO851507","GA","France-Guinée","2025-03-15","2025-03-17","Membre"
"PM857539","PA795100","Éric Martineau","PO854157","GE","Filière brassicole","2025-01-22","","Membre"
"PM860666","PA719550","Liliana Tanguy","PO854471","GE","Handicap et inclusion","2025-01-29","","Membre"
"PM856095","PA794702","Delphine Lingemann","PO854343","GE","Vigne, vin et œnologie","2025-01-14","","Membre"
"PM859795","PA795998","Émeline K/Bidi","PO851804","GA","France-Australie","2025-01-28","","Membre"
"PM856807","PA718838","Fabrice Brun","PO854205","GE","Insertion professionnelle des jeunes","2025-01-17","","Membre"
"PM854631","PA774960","Isabelle Santiago","PO854391","GE","Villes et banlieues","2024-12-19","","Membre"
"PM884213","PA607090","Jean-Pierre Vigier","PO854525","GE","Chasse et pêche","2026-07-06","","Membre"
"PM861577","PA794094","Mickaël Bouloux","PO851914","GA","France-Etats-Unis","2025-01-31","","Membre"
"PM857718","PA840135","Alexandre Dufosset","PO851914","GA","France-Etats-Unis","2025-01-23","","Membre"
"PM860845","PA842279","Anchya Bamana","PO851633","GA","France-Maurice","2025-01-29","","Membre"
"PM856274","PA719968","Sylvie Bonnet","PO854184","GE","Prisons et conditions carcérales","2025-01-15","","Membre"
"PM865010","PA794426","Anne Le Hénanff","PO854385","GE","Économie, sécurité et souveraineté numériques","2025-02-18","2025-11-12","Vice-Président"
"PM855542","PA795900","Marine Hamelet","PO854525","GE","Chasse et pêche","2025-01-08","","Membre"
"PM854810","PA608172","Christine Pirès Beaune","PO854278","GE","Déserts médicaux et accès aux soins","2024-12-19","","Membre"
"PM858629","PA345722","Constance Le Grip","PO851914","GA","France-Etats-Unis","2025-01-23","","Membre"
"PM861756","PA719032","Bertrand Bouyx","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-02-03","","Membre"
"PM877299","PA840955","Pierre Pribetich","PO851754","GA","France-Chypre","2026-01-01","","Membre"
"PM856453","PA793218","Jordan Guitton","PO854328","GE","Eau et biodiversité","2025-01-15","","Membre"
"PM863399","PA793416","Freddy Sertin","PO851945","GEVI","Groupe d'études à vocation internationale sur la Libye","2025-02-06","2025-11-12","Vice-Président"
"PM855721","PA840967","René Lioret","PO854195","GE","Antisémitisme","2025-01-10","2025-03-20","Membre"
"PM858096","PA794906","Gabriel Amard","PO851714","GA","France-Albanie","2025-01-23","","Membre"
"PM858808","PA795026","Anne-Cécile Violland","PO854561","GE","Santé mentale","2025-01-23","","Membre"
"PM861935","PA840979","Corentin Le Fur","PO851350","GA","France-Japon","2025-02-03","","Membre"
"PM860491","PA722000","Stéphane Buchou","PO851452","GA","France-Nouvelle-Zélande","2025-01-28","","Membre"
"PM866100","PA795120","Marina Ferrari","PO854268","GE","Montagne","2025-02-25","2025-11-12","Secrétaire"
"PM856632","PA805166","Anne Bergantz","PO854328","GE","Eau et biodiversité","2025-01-16","","Membre"
"PM863578","PA721486","Christophe Naegelen","PO851899","GA","France-Thaïlande","2025-02-07","","Vice-Président"
"PM856019","PA794718","Christine Engrand","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-14","","Membre"
"PM855900","PA721296","Guillaume Gouffier Valente","PO854184","GE","Prisons et conditions carcérales","2025-01-13","","Membre"
"PM859719","PA793832","Yoann Gillet","PO851537","GA","France-Ukraine","2025-01-27","","Membre"
"PM862846","PA796062","Thomas Portes","PO851432","GA","France-Irlande","2025-01-27","","Membre"
"PM858275","PA841183","Hanane Mansouri","PO851517","GA","France-Russie","2025-01-23","","Membre"
"PM867011","PA841613","Marc de Fleurian","PO851229","GA","France-Hongrie","2025-03-15","2025-03-17","Membre"
"PM857543","PA795100","Éric Martineau","PO854519","GE","Chrétiens d'Orient","2025-01-22","","Membre"
"PM860670","PA840135","Alexandre Dufosset","PO851693","GA","France-Liberia","2025-01-29","","Membre"
"PM864489","PA840075","Eddy Casterman","PO851914","GA","France-Etats-Unis","2025-02-13","","Membre"
"PM860057","PA795136","Jean-François Coulomme","PO851259","GA","France-Lettonie","2025-01-28","","Président"
"PM856811","PA718838","Fabrice Brun","PO854491","GE","Ruralité","2025-01-17","","Membre"
"PM863757","PA722336","Vincent Thiébaut","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-02-10","","Membre"
"PM861581","PA794094","Mickaël Bouloux","PO851239","GA","France-Islande","2025-01-31","","Membre"
"PM857722","PA841729","Abdelkader Lahmar","PO851254","GA","France-Algérie","2025-01-23","","Membre"
"PM857109","PA721750","Céline Calvez","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-21","","Membre"
"PM860236","PA720668","Emmanuel Blairy","PO851924","GA","France-Sénégal","2025-01-28","","Membre"
"PM863936","PA794554","Salvatore Castiglione","PO851542","GA","France-Monaco","2025-02-11","2025-11-05","Vice-Président"
"PM859365","PA793122","Romain Daubié","PO851209","GA","France-Jamaïque","2025-01-26","","Membre"
"PM858633","PA345722","Constance Le Grip","PO851462","GA","France-Lituanie","2025-01-23","","Membre"
"PM861760","PA719032","Bertrand Bouyx","PO851522","GA","France-Québec","2025-02-03","","Membre"
"PM857901","PA841613","Marc de Fleurian","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-23","","Membre"
"PM864847","PA841563","Claire Marais-Beuil","PO854278","GE","Déserts médicaux et accès aux soins","2025-02-18","","Membre"
"PM860415","PA719578","Loïc Prud'homme","PO851724","GA","France-Espagne","2025-01-28","","Membre"
"PM859544","PA840171","Emmanuel Grégoire","PO851442","GA","France-Canada","2025-01-27","2026-04-09","Membre"
"PM862058","PA840979","Corentin Le Fur","PO851965","GEVI","Groupe d'études à vocation internationale France-Syrie","2025-02-03","","Membre"
"PM858812","PA795026","Anne-Cécile Violland","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-01-23","","Membre"
"PM865758","PA841613","Marc de Fleurian","PO851904","GA","France-Emirats Arabes Unis","2025-02-24","","Membre"
"PM861326","PA342415","Marie-Noëlle Battistel","PO854168","GE","Tourisme et patrimoine","2025-01-30","","Membre"
"PM863582","PA721486","Christophe Naegelen","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-07","","Vice-Président"
"PM856023","PA794718","Christine Engrand","PO854205","GE","Insertion professionnelle des jeunes","2025-01-14","","Membre"
"PM859723","PA793832","Yoann Gillet","PO851412","GA","France-Asie centrale","2025-01-27","","Membre"
"PM862850","PA795010","Marie-Charlotte Garin","PO851754","GA","France-Chypre","2025-02-05","","Vice-Président"
