"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM871891","PA794570","Alexandre Sabatou","PO851344","GA","France-Afrique du Sud","2025-07-01","2025-09-07","Membre"
"PM864332","PA840143","Guillaume Florquin","PO851779","GA","France-Egypte","2025-02-12","","Membre"
"PM854864","PA793572","Christophe Plassard","PO854283","GE","Économie fluviale et maritime et filière halieutique","2024-12-20","","Membre"
"PM863600","PA335612","Jean-Paul Lecoq","PO851339","GA","France-Vietnam","2025-02-07","","Vice-Président"
"PM865243","PA719338","Graziella Melchior","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-02-19","","Vice-Président"
"PM878411","PA841973","Pierre-Henri Carbonnel","PO851724","GA","France-Espagne","2026-02-04","","Membre"
"PM855775","PA774962","Karine Lebon","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-01-13","","Membre"
"PM864511","PA840701","Bernard Chaix","PO851542","GA","France-Monaco","2025-02-13","","Vice-Président"
"PM861989","PA840979","Corentin Le Fur","PO851709","GA","France-Seychelles","2025-02-03","","Membre"
"PM856686","PA841351","Emmanuel Duplessy","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-01-16","","Membre"
"PM855954","PA841587","David Magnier","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-14","","Membre"
"PM872368","PA841873","Julien Limongi","PO851472","GA","France-Serbie","2025-07-04","","Membre"
"PM884804","PA794262","Patricia Maussion","PO854278","GE","Déserts médicaux et accès aux soins","2026-07-21","","Membre"
"PM854609","PA841749","Tiffany Joncour","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2024-12-19","","Membre"
"PM857776","PA842299","Emmanuel Tjibaou","PO851874","GA","France-Burkina Faso","2025-01-23","","Membre"
"PM866512","PA793912","Sylvain Carrière","PO851497","GA","France-Colombie","2025-03-07","","Membre"
"PM868155","PA795868","Jean-Victor Castor","PO851698","GA","France-Cuba","2025-04-03","","Président"
"PM858687","PA795808","Sabrina Sebaihi","PO851914","GA","France-Etats-Unis","2025-01-23","","Membre"
"PM857955","PA841737","Jonathan Gery","PO851417","GA","France-Suriname-Guyana","2025-01-23","","Membre"
"PM874369","PA795402","Nathalie Coggia","PO851673","GA","France-Allemagne","2025-10-31","","Membre"
"PM860469","PA794734","Michel Guiniot","PO851467","GA","France-Pologne","2025-01-28","","Membre"
"PM855166","PA608826","Virginie Duby-Muller","PO854333","GE","Industries du luxe","2024-12-24","","Membre"
"PM868334","PA840809","Gérault Verny","PO854411","GE","Industries de défense","2025-04-07","","Membre"
"PM858866","PA842187","Gabrielle Cathala","PO851769","GA","France-Tchèque (République)","2025-01-23","","Membre"
"PM861993","PA840979","Corentin Le Fur","PO851839","GA","France-Somalie","2025-02-03","","Membre"
"PM856690","PA793656","Lisette Pollet","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-01-16","","Membre"
"PM860648","PA719550","Liliana Tanguy","PO851552","GA","France-Arménie","2025-01-29","","Membre"
"PM856077","PA840135","Alexandre Dufosset","PO854491","GE","Ruralité","2025-01-14","","Membre"
"PM859777","PA795998","Émeline K/Bidi","PO854439","GE","Impact des changements climatiques","2025-01-28","","Membre"
"PM855345","PA795386","Mathieu Lefèvre","PO854288","GE","Attractivité économique et export","2025-01-06","2025-11-12","Membre"
"PM875459","PA841151","Alix Fruchon","PO854273","GE","Discriminations et LGBTQI-phobies","2025-11-20","2026-06-22","Membre"
"PM854613","PA774960","Isabelle Santiago","PO854380","GE","Cancer","2024-12-19","","Membre"
